Iteration,trainAccuracy,trainCoverage,trainReward,trainLong%,trainShort%,trainLongAcc,trainShortAcc,trainLongPrec,trainShortPrec,validationAccuracy,validationCoverage,validationReward,validationLong%,validationShort%,validationLongAcc,validationShortAcc,validLongPrec,validShortPrec,testAccuracy,testCoverage,testReward,testLong%,testShort%,testLongAcc,testShortAcc,testLongPrec,testShortPrec
0,0.4722564734895191,0.7798076923076923,-1.5406402624174902,0.23365384615384616,0.5461538461538461,0.51440329218107,0.45422535211267606,0.22893772893772893,0.5222672064777328,0.5915492957746479,0.6826923076923077,0.5240582893825754,0.19230769230769232,0.49038461538461536,0.6,0.5882352941176471,0.22641509433962265,0.5882352941176471,0.5,0.6346153846153846,-0.10705433263612571,0.25,0.38461538461538464,0.5,0.5,0.26,0.37037037037037035
1,0.6263399693721287,0.6278846153846154,5.466330753068753,0.22115384615384615,0.40673076923076923,0.6391304347826087,0.6193853427895981,0.2692307692307692,0.5303643724696356,0.6619718309859155,0.6826923076923077,1.0082409357320115,0.2692307692307692,0.41346153846153844,0.6785714285714286,0.6511627906976745,0.3584905660377358,0.5490196078431373,0.5396825396825397,0.6057692307692307,0.007839040428255284,0.2403846153846154,0.36538461538461536,0.44,0.6052631578947368,0.22,0.42592592592592593
2,0.6957878315132605,0.6163461538461539,9.619988528591811,0.26826923076923076,0.34807692307692306,0.6702508960573477,0.7154696132596685,0.3424908424908425,0.5242914979757085,0.5625,0.6153846153846154,0.6809372348521475,0.2692307692307692,0.34615384615384615,0.6071428571428571,0.5277777777777778,0.32075471698113206,0.37254901960784315,0.53125,0.6153846153846154,0.11834160347850017,0.25,0.36538461538461536,0.5,0.5526315789473685,0.26,0.3888888888888889
3,0.71875,0.676923076923077,11.943373167413508,0.3173076923076923,0.3596153846153846,0.6909090909090909,0.7433155080213903,0.4175824175824176,0.562753036437247,0.5384615384615384,0.625,0.4973233619823114,0.21153846153846154,0.41346153846153844,0.5909090909090909,0.5116279069767442,0.24528301886792453,0.43137254901960786,0.527027027027027,0.7115384615384616,0.09159122429746004,0.3173076923076923,0.3942307692307692,0.5151515151515151,0.5365853658536586,0.34,0.4074074074074074
4,0.7282463186077643,0.7182692307692308,14.298417933046624,0.34326923076923077,0.375,0.7394957983193278,0.717948717948718,0.4835164835164835,0.5668016194331984,0.5538461538461539,0.625,0.5508731321405536,0.16346153846153846,0.46153846153846156,0.5882352941176471,0.5416666666666666,0.18867924528301888,0.5098039215686274,0.5657894736842105,0.7307692307692307,0.1908464624601559,0.28846153846153844,0.4423076923076923,0.6,0.5434782608695652,0.36,0.46296296296296297
5,0.7716129032258064,0.7451923076923077,16.851236652394427,0.35384615384615387,0.39134615384615384,0.7880434782608695,0.7567567567567568,0.5311355311355311,0.6234817813765182,0.5263157894736842,0.7307692307692307,0.5465384469711069,0.2980769230769231,0.4326923076923077,0.5483870967741935,0.5111111111111111,0.32075471698113206,0.45098039215686275,0.5119047619047619,0.8076923076923077,-0.03613974781705098,0.38461538461538464,0.4230769230769231,0.5,0.5227272727272727,0.4,0.42592592592592593
6,0.768944099378882,0.7740384615384616,16.003820498705277,0.38846153846153847,0.3855769230769231,0.7673267326732673,0.770573566084788,0.5677655677655677,0.6255060728744939,0.5189873417721519,0.7596153846153846,0.48776638132615546,0.2692307692307692,0.49038461538461536,0.5357142857142857,0.5098039215686274,0.2830188679245283,0.5098039215686274,0.5465116279069767,0.8269230769230769,0.2033911411338426,0.3076923076923077,0.5192307692307693,0.5625,0.5370370370370371,0.36,0.5370370370370371
7,0.7748756218905473,0.7730769230769231,18.082105648860352,0.38653846153846155,0.38653846153846155,0.7835820895522388,0.7661691542288557,0.5769230769230769,0.6234817813765182,0.5128205128205128,0.75,0.4746085516211238,0.2980769230769231,0.4519230769230769,0.5161290322580645,0.5106382978723404,0.3018867924528302,0.47058823529411764,0.5465116279069767,0.8269230769230769,0.27454843460842204,0.3076923076923077,0.5192307692307693,0.59375,0.5185185185185185,0.38,0.5185185185185185
8,0.8063337393422655,0.7894230769230769,19.395949646718087,0.4125,0.3769230769230769,0.8111888111888111,0.8010204081632653,0.6373626373626373,0.6356275303643725,0.4819277108433735,0.7980769230769231,0.3369296285806614,0.33653846153846156,0.46153846153846156,0.4857142857142857,0.4791666666666667,0.32075471698113206,0.45098039215686275,0.5384615384615384,0.875,0.13031892971879463,0.33653846153846156,0.5384615384615384,0.5428571428571428,0.5357142857142857,0.38,0.5555555555555556
9,0.8186215235792019,0.7951923076923076,19.625481490660942,0.3903846153846154,0.4048076923076923,0.8349753694581281,0.8028503562945368,0.6208791208791209,0.6842105263157895,0.5058823529411764,0.8173076923076923,0.4465453243322968,0.40384615384615385,0.41346153846153844,0.5238095238095238,0.4883720930232558,0.41509433962264153,0.4117647058823529,0.5730337078651685,0.8557692307692307,0.44034610655220646,0.38461538461538464,0.47115384615384615,0.6,0.5510204081632653,0.48,0.5
10,0.8256227758007118,0.8105769230769231,20.26856329777582,0.40673076923076923,0.40384615384615385,0.8392434988179669,0.8119047619047619,0.6501831501831502,0.6902834008097166,0.5056179775280899,0.8557692307692307,0.46289844580979583,0.40384615384615385,0.4519230769230769,0.5,0.5106382978723404,0.39622641509433965,0.47058823529411764,0.5760869565217391,0.8846153846153846,0.5137669932117883,0.38461538461538464,0.5,0.6,0.5576923076923077,0.48,0.5370370370370371
11,0.7993197278911565,0.8480769230769231,20.776182114961145,0.42980769230769234,0.4182692307692308,0.814317673378076,0.7839080459770115,0.6666666666666666,0.6902834008097166,0.5268817204301075,0.8942307692307693,0.5806347544005526,0.4230769230769231,0.47115384615384615,0.5454545454545454,0.5102040816326531,0.4528301886792453,0.49019607843137253,0.5263157894736842,0.9134615384615384,0.15268903111838364,0.375,0.5384615384615384,0.5384615384615384,0.5178571428571429,0.42,0.5370370370370371
12,0.8153153153153153,0.8538461538461538,19.704415461302005,0.4269230769230769,0.4269230769230769,0.8400900900900901,0.7905405405405406,0.6831501831501832,0.7105263157894737,0.5051546391752577,0.9326923076923077,0.4422660856822858,0.5096153846153846,0.4230769230769231,0.5283018867924528,0.4772727272727273,0.5283018867924528,0.4117647058823529,0.5319148936170213,0.9038461538461539,0.20302830856815116,0.4326923076923077,0.47115384615384615,0.5555555555555556,0.5102040816326531,0.5,0.46296296296296297
13,0.8132118451025057,0.8442307692307692,20.575001370160095,0.4326923076923077,0.4115384615384615,0.8288888888888889,0.7967289719626168,0.6831501831501832,0.6902834008097166,0.5148514851485149,0.9711538461538461,0.5465589403923897,0.49038461538461536,0.4807692307692308,0.5294117647058824,0.5,0.5094339622641509,0.49019607843137253,0.5408163265306123,0.9423076923076923,0.17834289501114597,0.4230769230769231,0.5192307692307693,0.5454545454545454,0.5370370370370371,0.48,0.5370370370370371
