Iteration,trainAccuracy,trainCoverage,trainReward,trainLong%,trainShort%,trainLongAcc,trainShortAcc,trainLongPrec,trainShortPrec,validationAccuracy,validationCoverage,validationReward,validationLong%,validationShort%,validationLongAcc,validationShortAcc,validLongPrec,validShortPrec,testAccuracy,testCoverage,testReward,testLong%,testShort%,testLongAcc,testShortAcc,testLongPrec,testShortPrec
0,0.5051975051975052,0.4625,0.4496698276288107,0.4625,0.0,0.5051975051975052,0,0.4542056074766355,0.0,0.5,0.4230769230769231,-0.07691635603699383,0.4230769230769231,0.0,0.5,0,0.4230769230769231,0.0,0.53125,0.3076923076923077,0.2077347003025628,0.3076923076923077,0.0,0.53125,0,0.3541666666666667,0.0
1,0.6797066014669927,0.39326923076923076,4.744389640993113,0.39326923076923076,0.0,0.6797066014669927,0,0.5196261682242991,0.0,0.5142857142857142,0.33653846153846156,-0.030860589972798766,0.33653846153846156,0.0,0.5142857142857142,0,0.34615384615384615,0.0,0.4230769230769231,0.25,0.0014653637421857858,0.25,0.0,0.4230769230769231,0,0.22916666666666666,0.0
2,0.7547619047619047,0.40384615384615385,7.20991637871773,0.40384615384615385,0.0,0.7547619047619047,0,0.5925233644859813,0.0,0.5121951219512195,0.3942307692307692,-0.11230666381201178,0.3942307692307692,0.0,0.5121951219512195,0,0.40384615384615385,0.0,0.4375,0.3076923076923077,0.007148672561831774,0.3076923076923077,0.0,0.4375,0,0.2916666666666667,0.0
3,0.8009592326139089,0.4009615384615385,8.104572882755221,0.4009615384615385,0.0,0.8009592326139089,0,0.6242990654205608,0.0,0.46511627906976744,0.41346153846153844,-0.08596767658250318,0.41346153846153844,0.0,0.46511627906976744,0,0.38461538461538464,0.0,0.4375,0.3076923076923077,0.055428334176502315,0.3076923076923077,0.0,0.4375,0,0.2916666666666667,0.0
4,0.7755555555555556,0.4326923076923077,7.8977243445292356,0.4326923076923077,0.0,0.7755555555555556,0,0.6523364485981309,0.0,0.42857142857142855,0.40384615384615385,-0.10439505200826102,0.40384615384615385,0.0,0.42857142857142855,0,0.34615384615384615,0.0,0.45161290322580644,0.2980769230769231,0.07888541422289447,0.2980769230769231,0.0,0.45161290322580644,0,0.2916666666666667,0.0
5,0.7749469214437368,0.4528846153846154,9.054554782128273,0.4528846153846154,0.0,0.7749469214437368,0,0.6822429906542056,0.0,0.44642857142857145,0.5384615384615384,-0.13347332879605378,0.5384615384615384,0.0,0.44642857142857145,0,0.4807692307692308,0.0,0.391304347826087,0.4423076923076923,-0.06373683146003678,0.4423076923076923,0.0,0.391304347826087,0,0.375,0.0
6,0.7751937984496124,0.49615384615384617,9.978049279693755,0.49615384615384617,0.0,0.7751937984496124,0,0.7476635514018691,0.0,0.4444444444444444,0.4326923076923077,-0.14236497158023248,0.4326923076923077,0.0,0.4444444444444444,0,0.38461538461538464,0.0,0.45454545454545453,0.3173076923076923,0.07300709715098253,0.3173076923076923,0.0,0.45454545454545453,0,0.3125,0.0
7,0.7955465587044535,0.475,10.081209116566518,0.475,0.0,0.7955465587044535,0,0.7345794392523365,0.0,0.42,0.4807692307692308,-0.1682884705527859,0.4807692307692308,0.0,0.42,0,0.40384615384615385,0.0,0.425,0.38461538461538464,0.043150251181504964,0.38461538461538464,0.0,0.425,0,0.3541666666666667,0.0
8,0.7980392156862746,0.49038461538461536,10.005726351585485,0.49038461538461536,0.0,0.7980392156862746,0,0.7607476635514019,0.0,0.42,0.4807692307692308,-0.18968329792429162,0.4807692307692308,0.0,0.42,0,0.40384615384615385,0.0,0.5161290322580645,0.2980769230769231,0.06281716364788117,0.2980769230769231,0.0,0.5161290322580645,0,0.3333333333333333,0.0
9,0.806841046277666,0.4778846153846154,9.791457323939598,0.4778846153846154,0.0,0.806841046277666,0,0.7495327102803738,0.0,0.391304347826087,0.4423076923076923,-0.18845624579261916,0.4423076923076923,0.0,0.391304347826087,0,0.34615384615384615,0.0,0.4864864864864865,0.3557692307692308,0.060154130612999325,0.3557692307692308,0.0,0.4864864864864865,0,0.375,0.0
10,0.8027079303675049,0.4971153846153846,10.211407639059523,0.4971153846153846,0.0,0.8027079303675049,0,0.7757009345794392,0.0,0.3958333333333333,0.46153846153846156,-0.13015654829343395,0.46153846153846156,0.0,0.3958333333333333,0,0.36538461538461536,0.0,0.47368421052631576,0.36538461538461536,0.05861226839289007,0.36538461538461536,0.0,0.47368421052631576,0,0.375,0.0
11,0.8333333333333334,0.47307692307692306,10.634236144673787,0.47307692307692306,0.0,0.8333333333333334,0,0.7663551401869159,0.0,0.36538461538461536,0.5,-0.2366987646810041,0.5,0.0,0.36538461538461536,0,0.36538461538461536,0.0,0.4318181818181818,0.4230769230769231,0.06262199096429649,0.4230769230769231,0.0,0.4318181818181818,0,0.3958333333333333,0.0
12,0.8508946322067594,0.48365384615384616,11.363715619907982,0.48365384615384616,0.0,0.8508946322067594,0,0.8,0.0,0.37037037037037035,0.5192307692307693,-0.2622865764537445,0.5192307692307693,0.0,0.37037037037037035,0,0.38461538461538464,0.0,0.4523809523809524,0.40384615384615385,0.07589611044726277,0.40384615384615385,0.0,0.4523809523809524,0,0.3958333333333333,0.0
13,0.8135922330097087,0.4951923076923077,10.707572456085183,0.4951923076923077,0.0,0.8135922330097087,0,0.7831775700934579,0.0,0.375,0.5384615384615384,-0.1760839483837522,0.5384615384615384,0.0,0.375,0,0.40384615384615385,0.0,0.42857142857142855,0.47115384615384615,0.045739250135538395,0.47115384615384615,0.0,0.42857142857142855,0,0.4375,0.0
