Date,Time,Open,High,Low,Close
14/05/2018,00:00,8679.71000000,8879.99000000,7911.90000000,8526.98000000
21/05/2018,00:00,8526.97000000,8595.31000000,7231.11000000,7338.99000000
28/05/2018,00:00,7338.99000000,7786.69000000,7032.95000000,7714.26000000
04/06/2018,00:00,7714.26000000,7765.00000000,6622.81000000,6764.99000000
11/06/2018,00:00,6765.00000000,6922.00000000,6118.68000000,6449.61000000
18/06/2018,00:00,6444.06000000,6841.74000000,5750.00000000,6136.97000000
25/06/2018,00:00,6137.95000000,6528.99000000,5780.00000000,6356.81000000
02/07/2018,00:00,6360.82000000,6818.16000000,6271.62000000,6712.10000000
09/07/2018,00:00,6712.10000000,6802.06000000,6070.00000000,6353.01000000
16/07/2018,00:00,6354.15000000,7700.00000000,6330.40000000,7394.79000000
23/07/2018,00:00,7394.78000000,8491.77000000,7375.00000000,8211.00000000
30/07/2018,00:00,8210.99000000,8273.00000000,6882.29000000,7024.19000000
06/08/2018,00:00,7024.19000000,7160.00000000,5971.00000000,6308.33000000
13/08/2018,00:00,6308.56000000,6620.00000000,5880.00000000,6477.53000000
20/08/2018,00:00,6477.53000000,6882.54000000,6220.00000000,6700.00000000
27/08/2018,00:00,6700.00000000,7345.45000000,6646.50000000,7302.01000000
03/09/2018,00:00,7302.00000000,7410.00000000,6111.00000000,6250.81000000
10/09/2018,00:00,6252.26000000,6584.99000000,6169.68000000,6505.00000000
17/09/2018,00:00,6500.08000000,6839.03000000,6123.00000000,6708.00000000
24/09/2018,00:00,6706.81000000,6814.80000000,6325.02000000,6626.57000000
01/10/2018,00:00,6626.57000000,6697.00000000,6430.00000000,6615.26000000
08/10/2018,00:00,6615.26000000,6715.60000000,6205.00000000,6339.34000000
15/10/2018,00:00,6339.34000000,7680.00000000,6300.00000000,6590.11000000
22/10/2018,00:00,6590.12000000,6639.00000000,6453.00000000,6489.93000000
29/10/2018,00:00,6489.93000000,6525.00000000,6245.02000000,6485.85000000
05/11/2018,00:00,6485.85000000,6615.15000000,6355.00000000,6449.81000000
12/11/2018,00:00,6450.71000000,6498.00000000,5403.42000000,5662.00000000
19/11/2018,00:00,5661.94000000,5664.00000000,3652.66000000,4085.78000000
26/11/2018,00:00,4088.69000000,4450.38000000,3689.12000000,4161.01000000
03/12/2018,00:00,4160.55000000,4179.00000000,3222.00000000,3545.37000000
10/12/2018,00:00,3548.49000000,3610.00000000,3156.26000000,3228.67000000
17/12/2018,00:00,3229.22000000,4139.99000000,3216.00000000,3929.71000000
24/12/2018,00:00,3929.71000000,4198.00000000,3535.00000000,3801.91000000
31/12/2018,00:00,3803.12000000,4027.71000000,3630.33000000,3987.60000000
07/01/2019,00:00,3987.62000000,4069.80000000,3441.30000000,3476.81000000
14/01/2019,00:00,3477.56000000,3720.00000000,3467.02000000,3539.28000000
21/01/2019,00:00,3539.26000000,3662.94000000,3434.85000000,3550.84000000
28/01/2019,00:00,3550.05000000,3557.75000000,3349.92000000,3458.11000000
04/02/2019,00:00,3458.11000000,3733.58000000,3373.10000000,3680.06000000
11/02/2019,00:00,3679.75000000,3700.11000000,3568.11000000,3667.58000000
18/02/2019,00:00,3667.62000000,4198.00000000,3655.00000000,3743.56000000
25/02/2019,00:00,3743.56000000,3888.00000000,3677.17000000,3807.75000000
04/03/2019,00:00,3807.32000000,3971.75000000,3670.69000000,3916.82000000
11/03/2019,00:00,3915.99000000,4056.98000000,3810.43000000,3981.14000000
18/03/2019,00:00,3981.85000000,4069.32000000,3880.01000000,3992.18000000
