Iteration,trainAccuracy,trainCoverage,trainReward,trainLong%,trainShort%,trainLongAcc,trainShortAcc,trainLongPrec,trainShortPrec,validationAccuracy,validationCoverage,validationReward,validationLong%,validationShort%,validationLongAcc,validationShortAcc,validLongPrec,validShortPrec,testAccuracy,testCoverage,testReward,testLong%,testShort%,testLongAcc,testShortAcc,testLongPrec,testShortPrec
0,0.497737556561086,0.425,0.8633275181478978,0.425,0.0,0.497737556561086,0,0.411214953271028,0.0,0.5333333333333333,0.4326923076923077,0.04030658928738945,0.4326923076923077,0.0,0.5333333333333333,0,0.46153846153846156,0.0,0.56,0.4807692307692308,0.1398469377387872,0.4807692307692308,0.0,0.56,0,0.5833333333333334,0.0
1,0.6917098445595855,0.37115384615384617,5.299631337986622,0.37115384615384617,0.0,0.6917098445595855,0,0.49906542056074765,0.0,0.45,0.38461538461538464,-0.08410426770776888,0.38461538461538464,0.0,0.45,0,0.34615384615384615,0.0,0.59375,0.3076923076923077,0.1452773341323874,0.3076923076923077,0.0,0.59375,0,0.3958333333333333,0.0
2,0.7487437185929648,0.38269230769230766,6.835433110914074,0.38269230769230766,0.0,0.7487437185929648,0,0.5570093457943925,0.0,0.4772727272727273,0.4230769230769231,-0.11014244383295023,0.4230769230769231,0.0,0.4772727272727273,0,0.40384615384615385,0.0,0.6451612903225806,0.2980769230769231,0.14895658355370753,0.2980769230769231,0.0,0.6451612903225806,0,0.4166666666666667,0.0
3,0.7865707434052758,0.4009615384615385,8.005477110121967,0.4009615384615385,0.0,0.7865707434052758,0,0.6130841121495327,0.0,0.46875,0.3076923076923077,-0.062063450123646474,0.3076923076923077,0.0,0.46875,0,0.28846153846153844,0.0,0.6206896551724138,0.27884615384615385,0.12771343284647743,0.27884615384615385,0.0,0.6206896551724138,0,0.375,0.0
4,0.7666666666666667,0.4326923076923077,8.491938788725891,0.4326923076923077,0.0,0.7666666666666667,0,0.6448598130841121,0.0,0.4807692307692308,0.5,-0.061534338026186505,0.5,0.0,0.4807692307692308,0,0.4807692307692308,0.0,0.5263157894736842,0.5480769230769231,0.16257936488980307,0.5480769230769231,0.0,0.5263157894736842,0,0.625,0.0
5,0.7756813417190775,0.45865384615384613,8.369290930453879,0.45865384615384613,0.0,0.7756813417190775,0,0.6915887850467289,0.0,0.5128205128205128,0.375,0.024319740902383535,0.375,0.0,0.5128205128205128,0,0.38461538461538464,0.0,0.6896551724137931,0.27884615384615385,0.19787082789240817,0.27884615384615385,0.0,0.6896551724137931,0,0.4166666666666667,0.0
6,0.7784679089026915,0.46442307692307694,9.090946217133123,0.46442307692307694,0.0,0.7784679089026915,0,0.702803738317757,0.0,0.5111111111111111,0.4326923076923077,0.03460974405457968,0.4326923076923077,0.0,0.5111111111111111,0,0.4423076923076923,0.0,0.5952380952380952,0.40384615384615385,0.17445071941971527,0.40384615384615385,0.0,0.5952380952380952,0,0.5208333333333334,0.0
7,0.7928118393234672,0.4548076923076923,9.029781065538124,0.4548076923076923,0.0,0.7928118393234672,0,0.7009345794392523,0.0,0.49019607843137253,0.49038461538461536,-0.05645984563434313,0.49038461538461536,0.0,0.49019607843137253,0,0.4807692307692308,0.0,0.54,0.4807692307692308,0.15437072953924333,0.4807692307692308,0.0,0.54,0,0.5625,0.0
8,0.7883495145631068,0.4951923076923077,9.614624656593369,0.4951923076923077,0.0,0.7883495145631068,0,0.7588785046728972,0.0,0.45454545454545453,0.5288461538461539,-0.11396209981048336,0.5288461538461539,0.0,0.45454545454545453,0,0.4807692307692308,0.0,0.5384615384615384,0.5,0.1767945738797652,0.5,0.0,0.5384615384615384,0,0.5833333333333334,0.0
9,0.8151093439363817,0.48365384615384616,10.254847721409245,0.48365384615384616,0.0,0.8151093439363817,0,0.7663551401869159,0.0,0.48214285714285715,0.5384615384615384,-0.1298041301821904,0.5384615384615384,0.0,0.48214285714285715,0,0.5192307692307693,0.0,0.5471698113207547,0.5096153846153846,0.17466756938299582,0.5096153846153846,0.0,0.5471698113207547,0,0.6041666666666666,0.0
10,0.8185404339250493,0.4875,10.908464876688702,0.4875,0.0,0.8185404339250493,0,0.7757009345794392,0.0,0.5084745762711864,0.5673076923076923,-0.08819200560265285,0.5673076923076923,0.0,0.5084745762711864,0,0.5769230769230769,0.0,0.5172413793103449,0.5576923076923077,0.1245295346152851,0.5576923076923077,0.0,0.5172413793103449,0,0.625,0.0
11,0.8022813688212928,0.5057692307692307,10.421554644521603,0.5057692307692307,0.0,0.8022813688212928,0,0.788785046728972,0.0,0.5,0.5384615384615384,-0.10372723358599908,0.5384615384615384,0.0,0.5,0,0.5384615384615384,0.0,0.5490196078431373,0.49038461538461536,0.16206595744147295,0.49038461538461536,0.0,0.5490196078431373,0,0.5833333333333334,0.0
12,0.8018691588785046,0.5144230769230769,9.85419094450807,0.5144230769230769,0.0,0.8018691588785046,0,0.8018691588785046,0.0,0.4909090909090909,0.5288461538461539,-0.11019196729227025,0.5288461538461539,0.0,0.4909090909090909,0,0.5192307692307693,0.0,0.5,0.5192307692307693,0.1286612597335006,0.5192307692307693,0.0,0.5,0,0.5625,0.0
13,0.8174442190669371,0.4740384615384615,9.82642131188007,0.4740384615384615,0.0,0.8174442190669371,0,0.7532710280373832,0.0,0.4642857142857143,0.5384615384615384,-0.17482160909909497,0.5384615384615384,0.0,0.4642857142857143,0,0.5,0.0,0.5094339622641509,0.5096153846153846,0.14169081779102097,0.5096153846153846,0.0,0.5094339622641509,0,0.5625,0.0
14,0.807920792079208,0.4855769230769231,9.429903196302645,0.4855769230769231,0.0,0.807920792079208,0,0.7626168224299066,0.0,0.4375,0.46153846153846156,-0.23110602075895353,0.46153846153846156,0.0,0.4375,0,0.40384615384615385,0.0,0.49019607843137253,0.49038461538461536,0.09816237798224892,0.49038461538461536,0.0,0.49019607843137253,0,0.5208333333333334,0.0
15,0.819047619047619,0.5048076923076923,10.607996789776847,0.5048076923076923,0.0,0.819047619047619,0,0.8037383177570093,0.0,0.45454545454545453,0.4230769230769231,-0.12776117954154093,0.4230769230769231,0.0,0.45454545454545453,0,0.38461538461538464,0.0,0.5227272727272727,0.4230769230769231,0.1192991793197817,0.4230769230769231,0.0,0.5227272727272727,0,0.4791666666666667,0.0
16,0.8455445544554455,0.4855769230769231,11.210151875072118,0.4855769230769231,0.0,0.8455445544554455,0,0.7981308411214953,0.0,0.4782608695652174,0.4423076923076923,-0.17429001050994625,0.4423076923076923,0.0,0.4782608695652174,0,0.4230769230769231,0.0,0.5,0.46153846153846156,0.10725973193015953,0.46153846153846156,0.0,0.5,0,0.5,0.0
17,0.8361904761904762,0.5048076923076923,11.327641243993636,0.5048076923076923,0.0,0.8361904761904762,0,0.8205607476635514,0.0,0.5192307692307693,0.5,-0.07199802113061575,0.5,0.0,0.5192307692307693,0,0.5192307692307693,0.0,0.5094339622641509,0.5096153846153846,0.1339864674004341,0.5096153846153846,0.0,0.5094339622641509,0,0.5625,0.0
18,0.7959927140255009,0.5278846153846154,10.99833878439499,0.5278846153846154,0.0,0.7959927140255009,0,0.8168224299065421,0.0,0.45,0.38461538461538464,-0.07241004246804147,0.38461538461538464,0.0,0.45,0,0.34615384615384615,0.0,0.5116279069767442,0.41346153846153844,0.10655483925358564,0.41346153846153844,0.0,0.5116279069767442,0,0.4583333333333333,0.0
19,0.833969465648855,0.5038461538461538,11.26433470599276,0.5038461538461538,0.0,0.833969465648855,0,0.8168224299065421,0.0,0.46,0.4807692307692308,-0.128106941461529,0.4807692307692308,0.0,0.46,0,0.4423076923076923,0.0,0.5094339622641509,0.5096153846153846,0.16790200674534203,0.5096153846153846,0.0,0.5094339622641509,0,0.5625,0.0
20,0.8488372093023255,0.49615384615384617,10.817134880955855,0.49615384615384617,0.0,0.8488372093023255,0,0.8186915887850468,0.0,0.46938775510204084,0.47115384615384615,-0.1231451214972945,0.47115384615384615,0.0,0.46938775510204084,0,0.4423076923076923,0.0,0.52,0.4807692307692308,0.13293321194098542,0.4807692307692308,0.0,0.52,0,0.5416666666666666,0.0
21,0.8295454545454546,0.5076923076923077,10.578225701718164,0.5076923076923077,0.0,0.8295454545454546,0,0.8186915887850468,0.0,0.44680851063829785,0.4519230769230769,-0.128511701031562,0.4519230769230769,0.0,0.44680851063829785,0,0.40384615384615385,0.0,0.56,0.4807692307692308,0.19001015457873338,0.4807692307692308,0.0,0.56,0,0.5833333333333334,0.0
22,0.8709055876685935,0.49903846153846154,11.753482324203134,0.49903846153846154,0.0,0.8709055876685935,0,0.8448598130841122,0.0,0.45098039215686275,0.49038461538461536,-0.14894787991040953,0.49038461538461536,0.0,0.45098039215686275,0,0.4423076923076923,0.0,0.5245901639344263,0.5865384615384616,0.19148243908725648,0.5865384615384616,0.0,0.5245901639344263,0,0.6666666666666666,0.0
23,0.829126213592233,0.4951923076923077,10.815639620824086,0.4951923076923077,0.0,0.829126213592233,0,0.7981308411214953,0.0,0.44680851063829785,0.4519230769230769,-0.17107991965499786,0.4519230769230769,0.0,0.44680851063829785,0,0.40384615384615385,0.0,0.5490196078431373,0.49038461538461536,0.18674931059183025,0.49038461538461536,0.0,0.5490196078431373,0,0.5833333333333334,0.0
24,0.8448275862068966,0.5019230769230769,11.121688669628707,0.5019230769230769,0.0,0.8448275862068966,0,0.8242990654205608,0.0,0.46153846153846156,0.5,-0.1533876838723633,0.5,0.0,0.46153846153846156,0,0.46153846153846156,0.0,0.5079365079365079,0.6057692307692307,0.16592603085633828,0.6057692307692307,0.0,0.5079365079365079,0,0.6666666666666666,0.0
25,0.8623326959847036,0.5028846153846154,11.420515127685364,0.5028846153846154,0.0,0.8623326959847036,0,0.8429906542056075,0.0,0.44680851063829785,0.4519230769230769,-0.14669346455126914,0.4519230769230769,0.0,0.44680851063829785,0,0.40384615384615385,0.0,0.5081967213114754,0.5865384615384616,0.20105443619164293,0.5865384615384616,0.0,0.5081967213114754,0,0.6458333333333334,0.0
26,0.8551859099804305,0.4913461538461538,11.740305552768437,0.4913461538461538,0.0,0.8551859099804305,0,0.8168224299065421,0.0,0.43137254901960786,0.49038461538461536,-0.17448934534758326,0.49038461538461536,0.0,0.43137254901960786,0,0.4230769230769231,0.0,0.5303030303030303,0.6346153846153846,0.19689633542873397,0.6346153846153846,0.0,0.5303030303030303,0,0.7291666666666666,0.0
