Iteration,trainAccuracy,trainCoverage,trainReward,trainLong%,trainShort%,trainLongAcc,trainShortAcc,trainLongPrec,trainShortPrec,validationAccuracy,validationCoverage,validationReward,validationLong%,validationShort%,validationLongAcc,validationShortAcc,validLongPrec,validShortPrec,testAccuracy,testCoverage,testReward,testLong%,testShort%,testLongAcc,testShortAcc,testLongPrec,testShortPrec
0,0.5476190476190477,0.4442307692307692,1.9050818873736208,0.4442307692307692,0.0,0.5476190476190477,0,0.4583333333333333,0.0,0.6129032258064516,0.2980769230769231,0.1426161406635934,0.2980769230769231,0.0,0.6129032258064516,0,0.38,0.0,0.6052631578947368,0.36538461538461536,0.13627563030871925,0.36538461538461536,0.0,0.6052631578947368,0,0.4423076923076923,0.0
1,0.6832151300236406,0.40673076923076923,5.846321513085336,0.40673076923076923,0.0,0.6832151300236406,0,0.5235507246376812,0.0,0.48717948717948717,0.375,-0.039339592694307354,0.375,0.0,0.48717948717948717,0,0.38,0.0,0.5306122448979592,0.47115384615384615,0.0813483904131047,0.47115384615384615,0.0,0.5306122448979592,0,0.5,0.0
2,0.7573696145124716,0.42403846153846153,8.493804962067754,0.42403846153846153,0.0,0.7573696145124716,0,0.605072463768116,0.0,0.4166666666666667,0.34615384615384615,-0.059501285433007534,0.34615384615384615,0.0,0.4166666666666667,0,0.3,0.0,0.5348837209302325,0.41346153846153844,0.028334036206422848,0.41346153846153844,0.0,0.5348837209302325,0,0.4423076923076923,0.0
3,0.7891156462585034,0.42403846153846153,9.02946549539648,0.42403846153846153,0.0,0.7891156462585034,0,0.6304347826086957,0.0,0.4358974358974359,0.375,-0.12515639827015104,0.375,0.0,0.4358974358974359,0,0.34,0.0,0.575,0.38461538461538464,0.07798920724803701,0.38461538461538464,0.0,0.575,0,0.4423076923076923,0.0
4,0.8183856502242153,0.4288461538461538,10.025983240226907,0.4288461538461538,0.0,0.8183856502242153,0,0.6612318840579711,0.0,0.4782608695652174,0.4423076923076923,0.1737935644601494,0.4423076923076923,0.0,0.4782608695652174,0,0.44,0.0,0.5714285714285714,0.47115384615384615,0.12531799656625214,0.47115384615384615,0.0,0.5714285714285714,0,0.5384615384615384,0.0
5,0.8082474226804124,0.46634615384615385,10.76083135394926,0.46634615384615385,0.0,0.8082474226804124,0,0.7101449275362319,0.0,0.475,0.38461538461538464,0.17122364731706863,0.38461538461538464,0.0,0.475,0,0.38,0.0,0.574468085106383,0.4519230769230769,0.018745309002121895,0.4519230769230769,0.0,0.574468085106383,0,0.5192307692307693,0.0
6,0.8047337278106509,0.4875,10.94175338262553,0.4875,0.0,0.8047337278106509,0,0.7391304347826086,0.0,0.4444444444444444,0.4326923076923077,0.015215478784895913,0.4326923076923077,0.0,0.4444444444444444,0,0.4,0.0,0.5833333333333334,0.46153846153846156,0.05459401959819279,0.46153846153846156,0.0,0.5833333333333334,0,0.5384615384615384,0.0
7,0.8038834951456311,0.4951923076923077,10.608467594821956,0.4951923076923077,0.0,0.8038834951456311,0,0.75,0.0,0.4,0.4326923076923077,-0.1658497422114256,0.4326923076923077,0.0,0.4,0,0.36,0.0,0.5555555555555556,0.4326923076923077,0.003772854522826705,0.4326923076923077,0.0,0.5555555555555556,0,0.4807692307692308,0.0
8,0.7992047713717694,0.48365384615384616,10.545401326200214,0.48365384615384616,0.0,0.7992047713717694,0,0.7282608695652174,0.0,0.3541666666666667,0.46153846153846156,-0.15250869330688294,0.46153846153846156,0.0,0.3541666666666667,0,0.34,0.0,0.5178571428571429,0.5384615384615384,0.017166781883896094,0.5384615384615384,0.0,0.5178571428571429,0,0.5576923076923077,0.0
9,0.8122605363984674,0.5019230769230769,11.371897693889425,0.5019230769230769,0.0,0.8122605363984674,0,0.7681159420289855,0.0,0.36363636363636365,0.4230769230769231,-0.14185687693420002,0.4230769230769231,0.0,0.36363636363636365,0,0.32,0.0,0.5416666666666666,0.46153846153846156,-0.028791514834248952,0.46153846153846156,0.0,0.5416666666666666,0,0.5,0.0
10,0.8306451612903226,0.47692307692307695,11.17595789802844,0.47692307692307695,0.0,0.8306451612903226,0,0.7463768115942029,0.0,0.38636363636363635,0.4230769230769231,-0.07673292957801983,0.4230769230769231,0.0,0.38636363636363635,0,0.34,0.0,0.5510204081632653,0.47115384615384615,0.03149979108964185,0.47115384615384615,0.0,0.5510204081632653,0,0.5192307692307693,0.0
11,0.8260869565217391,0.48653846153846153,10.876303060428054,0.48653846153846153,0.0,0.8260869565217391,0,0.7572463768115942,0.0,0.425531914893617,0.4519230769230769,-0.057110666467904164,0.4519230769230769,0.0,0.425531914893617,0,0.4,0.0,0.5283018867924528,0.5096153846153846,-0.04331676793194385,0.5096153846153846,0.0,0.5283018867924528,0,0.5384615384615384,0.0
12,0.8371647509578544,0.5019230769230769,11.48973231089289,0.5019230769230769,0.0,0.8371647509578544,0,0.7916666666666666,0.0,0.41025641025641024,0.375,0.027111256270040972,0.375,0.0,0.41025641025641024,0,0.32,0.0,0.5434782608695652,0.4423076923076923,-0.025607033635690307,0.4423076923076923,0.0,0.5434782608695652,0,0.4807692307692308,0.0
13,0.84,0.4807692307692308,11.231106534119288,0.4807692307692308,0.0,0.84,0,0.7608695652173914,0.0,0.39473684210526316,0.36538461538461536,0.03551161235133569,0.36538461538461536,0.0,0.39473684210526316,0,0.3,0.0,0.54,0.4807692307692308,-0.01353053635142047,0.4807692307692308,0.0,0.54,0,0.5192307692307693,0.0
14,0.8393194706994329,0.5086538461538461,11.495318007211452,0.5086538461538461,0.0,0.8393194706994329,0,0.8043478260869565,0.0,0.3953488372093023,0.41346153846153844,0.0058865496346027155,0.41346153846153844,0.0,0.3953488372093023,0,0.34,0.0,0.5102040816326531,0.47115384615384615,-0.10674885912018815,0.47115384615384615,0.0,0.5102040816326531,0,0.4807692307692308,0.0
15,0.8255159474671669,0.5125,10.98208847177732,0.5125,0.0,0.8255159474671669,0,0.7971014492753623,0.0,0.3333333333333333,0.40384615384615385,-0.12409554600424687,0.40384615384615385,0.0,0.3333333333333333,0,0.28,0.0,0.4716981132075472,0.5096153846153846,-0.18961460141827197,0.5096153846153846,0.0,0.4716981132075472,0,0.4807692307692308,0.0
16,0.8199643493761141,0.5394230769230769,11.599340156820459,0.5394230769230769,0.0,0.8199643493761141,0,0.8333333333333334,0.0,0.38636363636363635,0.4230769230769231,-0.010228730544196492,0.4230769230769231,0.0,0.38636363636363635,0,0.34,0.0,0.5,0.5576923076923077,-0.048687685073662584,0.5576923076923077,0.0,0.5,0,0.5576923076923077,0.0
17,0.8483754512635379,0.5326923076923077,12.336459752560279,0.5326923076923077,0.0,0.8483754512635379,0,0.8514492753623188,0.0,0.4146341463414634,0.3942307692307692,-0.009334209931357095,0.3942307692307692,0.0,0.4146341463414634,0,0.34,0.0,0.5,0.5192307692307693,-0.06205361004622821,0.5192307692307693,0.0,0.5,0,0.5192307692307693,0.0
18,0.8532608695652174,0.5307692307692308,12.653689962209135,0.5307692307692308,0.0,0.8532608695652174,0,0.8532608695652174,0.0,0.42857142857142855,0.40384615384615385,0.027864634206783787,0.40384615384615385,0.0,0.42857142857142855,0,0.36,0.0,0.5,0.5384615384615384,-0.15634621576397215,0.5384615384615384,0.0,0.5,0,0.5384615384615384,0.0
