Iteration,trainAccuracy,trainCoverage,trainReward,trainLong%,trainShort%,trainLongAcc,trainShortAcc,trainLongPrec,trainShortPrec,validationAccuracy,validationCoverage,validationReward,validationLong%,validationShort%,validationLongAcc,validationShortAcc,validLongPrec,validShortPrec,testAccuracy,testCoverage,testReward,testLong%,testShort%,testLongAcc,testShortAcc,testLongPrec,testShortPrec
0,0.5173410404624278,0.3326923076923077,0.33957570176331764,0.3326923076923077,0.0,0.5173410404624278,0,0.32194244604316546,0.0,0.5151515151515151,0.3173076923076923,0.05104908986404176,0.3173076923076923,0.0,0.5151515151515151,0,0.34,0.0,0.42424242424242425,0.3173076923076923,-0.183077064312116,0.3173076923076923,0.0,0.42424242424242425,0,0.28,0.0
1,0.6469002695417789,0.35673076923076924,3.6289798228770436,0.35673076923076924,0.0,0.6469002695417789,0,0.4316546762589928,0.0,0.4827586206896552,0.27884615384615385,0.07565879858428393,0.27884615384615385,0.0,0.4827586206896552,0,0.28,0.0,0.3333333333333333,0.375,-0.3361745029176382,0.375,0.0,0.3333333333333333,0,0.26,0.0
2,0.728,0.3605769230769231,4.231890447841062,0.3605769230769231,0.0,0.728,0,0.4910071942446043,0.0,0.4666666666666667,0.28846153846153844,0.07543101421231534,0.28846153846153844,0.0,0.4666666666666667,0,0.28,0.0,0.4318181818181818,0.4230769230769231,-0.24026841651203903,0.4230769230769231,0.0,0.4318181818181818,0,0.38,0.0
3,0.7833333333333333,0.40384615384615385,6.903638878551023,0.40384615384615385,0.0,0.7833333333333333,0,0.591726618705036,0.0,0.425,0.38461538461538464,-0.12389163655549776,0.38461538461538464,0.0,0.425,0,0.34,0.0,0.45,0.38461538461538464,-0.1355214382983451,0.38461538461538464,0.0,0.45,0,0.36,0.0
4,0.7745535714285714,0.4307692307692308,7.554264390312158,0.4307692307692308,0.0,0.7745535714285714,0,0.6241007194244604,0.0,0.43902439024390244,0.3942307692307692,-0.08033863942132638,0.3942307692307692,0.0,0.43902439024390244,0,0.36,0.0,0.41304347826086957,0.4423076923076923,-0.19834721728536878,0.4423076923076923,0.0,0.41304347826086957,0,0.38,0.0
5,0.7908496732026143,0.44134615384615383,8.202149495915055,0.44134615384615383,0.0,0.7908496732026143,0,0.6528776978417267,0.0,0.5121951219512195,0.3942307692307692,0.09391025861915031,0.3942307692307692,0.0,0.5121951219512195,0,0.42,0.0,0.3829787234042553,0.4519230769230769,-0.505081069681153,0.4519230769230769,0.0,0.3829787234042553,0,0.36,0.0
6,0.7925311203319502,0.4634615384615385,8.907176867501553,0.4634615384615385,0.0,0.7925311203319502,0,0.6870503597122302,0.0,0.5208333333333334,0.46153846153846156,0.0732051413461982,0.46153846153846156,0.0,0.5208333333333334,0,0.5,0.0,0.4,0.5288461538461539,-0.38382826142160786,0.5288461538461539,0.0,0.4,0,0.44,0.0
7,0.7727272727272727,0.48653846153846153,9.39944669831601,0.48653846153846153,0.0,0.7727272727272727,0,0.7032374100719424,0.0,0.5434782608695652,0.4423076923076923,0.15251828612289664,0.4423076923076923,0.0,0.5434782608695652,0,0.5,0.0,0.4339622641509434,0.5096153846153846,-0.43316644393045717,0.5096153846153846,0.0,0.4339622641509434,0,0.46,0.0
8,0.7585551330798479,0.5057692307692307,8.94359904854853,0.5057692307692307,0.0,0.7585551330798479,0,0.7176258992805755,0.0,0.5384615384615384,0.5,0.15459857943095576,0.5,0.0,0.5384615384615384,0,0.56,0.0,0.45454545454545453,0.5288461538461539,-0.31286249556033036,0.5288461538461539,0.0,0.45454545454545453,0,0.5,0.0
9,0.8203125,0.49230769230769234,9.692427764537133,0.49230769230769234,0.0,0.8203125,0,0.7553956834532374,0.0,0.5348837209302325,0.41346153846153844,0.10974808097880885,0.41346153846153844,0.0,0.5348837209302325,0,0.46,0.0,0.4423076923076923,0.5,-0.3627501573726031,0.5,0.0,0.4423076923076923,0,0.46,0.0
