Iteration,trainAccuracy,trainCoverage,trainReward,trainLong%,trainShort%,trainLongAcc,trainShortAcc,trainLongPrec,trainShortPrec,validationAccuracy,validationCoverage,validationReward,validationLong%,validationShort%,validationLongAcc,validationShortAcc,validLongPrec,validShortPrec,testAccuracy,testCoverage,testReward,testLong%,testShort%,testLongAcc,testShortAcc,testLongPrec,testShortPrec
0,0.5263157894736842,0.32884615384615384,0.7474944375274701,0.32884615384615384,0.0,0.5263157894736842,0,0.3231597845601436,0.0,0.42105263157894735,0.36538461538461536,-0.1732361525935645,0.36538461538461536,0.0,0.42105263157894735,0,0.34782608695652173,0.0,0.5833333333333334,0.46153846153846156,0.19451685267286922,0.46153846153846156,0.0,0.5833333333333334,0,0.56,0.0
1,0.6556962025316456,0.3798076923076923,4.167443914726473,0.3798076923076923,0.0,0.6556962025316456,0,0.4649910233393178,0.0,0.47368421052631576,0.36538461538461536,-0.10266811319984762,0.36538461538461536,0.0,0.47368421052631576,0,0.391304347826087,0.0,0.48717948717948717,0.375,-0.0776311497885089,0.375,0.0,0.48717948717948717,0,0.38,0.0
2,0.7408256880733946,0.41923076923076924,6.868304774297054,0.41923076923076924,0.0,0.7408256880733946,0,0.5798922800718133,0.0,0.42857142857142855,0.40384615384615385,-0.16616731436322757,0.40384615384615385,0.0,0.42857142857142855,0,0.391304347826087,0.0,0.5348837209302325,0.41346153846153844,0.04399837893682025,0.41346153846153844,0.0,0.5348837209302325,0,0.46,0.0
3,0.7706013363028953,0.43173076923076925,8.158541149377097,0.43173076923076925,0.0,0.7706013363028953,0,0.6211849192100538,0.0,0.4222222222222222,0.4326923076923077,-0.18824780096830004,0.4326923076923077,0.0,0.4222222222222222,0,0.41304347826086957,0.0,0.4782608695652174,0.4423076923076923,-0.02805038760078736,0.4423076923076923,0.0,0.4782608695652174,0,0.44,0.0
4,0.7754237288135594,0.45384615384615384,9.12111936056333,0.45384615384615384,0.0,0.7754237288135594,0,0.6570915619389587,0.0,0.3958333333333333,0.46153846153846156,-0.31506648565794315,0.46153846153846156,0.0,0.3958333333333333,0,0.41304347826086957,0.0,0.5,0.4807692307692308,0.052521669130520005,0.4807692307692308,0.0,0.5,0,0.5,0.0
5,0.8254620123203286,0.46826923076923077,9.914485237170785,0.46826923076923077,0.0,0.8254620123203286,0,0.7217235188509874,0.0,0.40384615384615385,0.5,-0.19951407757380143,0.5,0.0,0.40384615384615385,0,0.45652173913043476,0.0,0.5272727272727272,0.5288461538461539,0.12922185963541352,0.5288461538461539,0.0,0.5272727272727272,0,0.58,0.0
6,0.7977099236641222,0.5038461538461538,10.078610765321923,0.5038461538461538,0.0,0.7977099236641222,0,0.7504488330341114,0.0,0.43137254901960786,0.49038461538461536,-0.08581224215007022,0.49038461538461536,0.0,0.43137254901960786,0,0.4782608695652174,0.0,0.509090909090909,0.5288461538461539,0.12176545477644443,0.5288461538461539,0.0,0.509090909090909,0,0.56,0.0
7,0.7991967871485943,0.47884615384615387,10.26086349562815,0.47884615384615387,0.0,0.7991967871485943,0,0.7145421903052065,0.0,0.46938775510204084,0.47115384615384615,0.041070847238730813,0.47115384615384615,0.0,0.46938775510204084,0,0.5,0.0,0.5555555555555556,0.5192307692307693,0.18054656822668194,0.5192307692307693,0.0,0.5555555555555556,0,0.6,0.0
8,0.8112033195020747,0.4634615384615385,9.919909033849725,0.4634615384615385,0.0,0.8112033195020747,0,0.7019748653500898,0.0,0.42857142857142855,0.47115384615384615,-0.035936942267689474,0.47115384615384615,0.0,0.42857142857142855,0,0.45652173913043476,0.0,0.5185185185185185,0.5192307692307693,0.031589757487800574,0.5192307692307693,0.0,0.5185185185185185,0,0.56,0.0
9,0.8377281947261663,0.4740384615384615,10.51209811682834,0.4740384615384615,0.0,0.8377281947261663,0,0.7414721723518851,0.0,0.40425531914893614,0.4519230769230769,-0.08838875321923576,0.4519230769230769,0.0,0.40425531914893614,0,0.41304347826086957,0.0,0.5357142857142857,0.5384615384615384,0.09754551494772531,0.5384615384615384,0.0,0.5357142857142857,0,0.6,0.0
10,0.833976833976834,0.4980769230769231,11.060030763337224,0.4980769230769231,0.0,0.833976833976834,0,0.7755834829443446,0.0,0.4074074074074074,0.5192307692307693,-0.036228095234014636,0.5192307692307693,0.0,0.4074074074074074,0,0.4782608695652174,0.0,0.55,0.5769230769230769,0.14963262069465738,0.5769230769230769,0.0,0.55,0,0.66,0.0
11,0.8364661654135338,0.5115384615384615,11.457708725041934,0.5115384615384615,0.0,0.8364661654135338,0,0.7989228007181328,0.0,0.43137254901960786,0.49038461538461536,0.05473771745065476,0.49038461538461536,0.0,0.43137254901960786,0,0.4782608695652174,0.0,0.5087719298245614,0.5480769230769231,0.0705607093826455,0.5480769230769231,0.0,0.5087719298245614,0,0.58,0.0
12,0.820952380952381,0.5048076923076923,10.484200954352259,0.5048076923076923,0.0,0.820952380952381,0,0.7737881508078994,0.0,0.38461538461538464,0.5,-0.07158736431569088,0.5,0.0,0.38461538461538464,0,0.43478260869565216,0.0,0.5263157894736842,0.5480769230769231,0.07413134489875647,0.5480769230769231,0.0,0.5263157894736842,0,0.6,0.0
13,0.8321167883211679,0.5269230769230769,11.343892306053545,0.5269230769230769,0.0,0.8321167883211679,0,0.8186714542190305,0.0,0.38181818181818183,0.5288461538461539,-0.0693911735233679,0.5288461538461539,0.0,0.38181818181818183,0,0.45652173913043476,0.0,0.5081967213114754,0.5865384615384616,0.1227577452204508,0.5865384615384616,0.0,0.5081967213114754,0,0.62,0.0
14,0.8379888268156425,0.5163461538461539,11.517141041755895,0.5163461538461539,0.0,0.8379888268156425,0,0.8078994614003591,0.0,0.38181818181818183,0.5288461538461539,-0.05343024007704262,0.5288461538461539,0.0,0.38181818181818183,0,0.45652173913043476,0.0,0.5166666666666667,0.5769230769230769,0.12698829478351714,0.5769230769230769,0.0,0.5166666666666667,0,0.62,0.0
15,0.8477443609022557,0.5115384615384615,11.56249526088248,0.5115384615384615,0.0,0.8477443609022557,0,0.8096947935368043,0.0,0.3898305084745763,0.5673076923076923,-0.025152610712789104,0.5673076923076923,0.0,0.3898305084745763,0,0.5,0.0,0.5245901639344263,0.5865384615384616,0.06705222941385919,0.5865384615384616,0.0,0.5245901639344263,0,0.64,0.0
16,0.8432122370936902,0.5028846153846154,11.066868361061722,0.5028846153846154,0.0,0.8432122370936902,0,0.7917414721723519,0.0,0.41379310344827586,0.5576923076923077,-0.02303007108332227,0.5576923076923077,0.0,0.41379310344827586,0,0.5217391304347826,0.0,0.5409836065573771,0.5865384615384616,0.08950548167635192,0.5865384615384616,0.0,0.5409836065573771,0,0.66,0.0
17,0.8568738229755178,0.510576923076923,11.507137655930716,0.510576923076923,0.0,0.8568738229755178,0,0.8168761220825853,0.0,0.43137254901960786,0.49038461538461536,0.0867021404449351,0.49038461538461536,0.0,0.43137254901960786,0,0.4782608695652174,0.0,0.5370370370370371,0.5192307692307693,0.03754291977343613,0.5192307692307693,0.0,0.5370370370370371,0,0.58,0.0
18,0.87279843444227,0.4913461538461538,11.485652805660042,0.4913461538461538,0.0,0.87279843444227,0,0.800718132854578,0.0,0.43137254901960786,0.49038461538461536,0.14075587275005355,0.49038461538461536,0.0,0.43137254901960786,0,0.4782608695652174,0.0,0.5178571428571429,0.5384615384615384,-0.02272123548533262,0.5384615384615384,0.0,0.5178571428571429,0,0.58,0.0
19,0.8637236084452975,0.5009615384615385,11.810263063325719,0.5009615384615385,0.0,0.8637236084452975,0,0.8078994614003591,0.0,0.4074074074074074,0.5192307692307693,0.019683137209729896,0.5192307692307693,0.0,0.4074074074074074,0,0.4782608695652174,0.0,0.5263157894736842,0.5480769230769231,0.030073571528621387,0.5480769230769231,0.0,0.5263157894736842,0,0.6,0.0
20,0.8504672897196262,0.5144230769230769,11.794064365158656,0.5144230769230769,0.0,0.8504672897196262,0,0.8168761220825853,0.0,0.41509433962264153,0.5096153846153846,0.017695795279470815,0.5096153846153846,0.0,0.41509433962264153,0,0.4782608695652174,0.0,0.5396825396825397,0.6057692307692307,0.17046487995993925,0.6057692307692307,0.0,0.5396825396825397,0,0.68,0.0
21,0.8628884826325411,0.5259615384615385,12.648742156705127,0.5259615384615385,0.0,0.8628884826325411,0,0.8473967684021544,0.0,0.41818181818181815,0.5288461538461539,0.021133200135251294,0.5288461538461539,0.0,0.41818181818181815,0,0.5,0.0,0.5172413793103449,0.5576923076923077,0.07315063039965991,0.5576923076923077,0.0,0.5172413793103449,0,0.6,0.0
22,0.8579439252336448,0.5144230769230769,11.741874882695239,0.5144230769230769,0.0,0.8579439252336448,0,0.8240574506283662,0.0,0.4444444444444444,0.5192307692307693,0.038858177986576994,0.5192307692307693,0.0,0.4444444444444444,0,0.5217391304347826,0.0,0.532258064516129,0.5961538461538461,0.1978738274656497,0.5961538461538461,0.0,0.532258064516129,0,0.66,0.0
23,0.8397887323943662,0.5461538461538461,11.307518431024704,0.5461538461538461,0.0,0.8397887323943662,0,0.8563734290843806,0.0,0.42592592592592593,0.5192307692307693,-0.028115818758992626,0.5192307692307693,0.0,0.42592592592592593,0,0.5,0.0,0.5373134328358209,0.6442307692307693,0.1978964717493687,0.6442307692307693,0.0,0.5373134328358209,0,0.72,0.0
24,0.858195211786372,0.5221153846153846,12.149201837428036,0.5221153846153846,0.0,0.858195211786372,0,0.8366247755834829,0.0,0.41509433962264153,0.5096153846153846,-0.004744489097734371,0.5096153846153846,0.0,0.41509433962264153,0,0.4782608695652174,0.0,0.5084745762711864,0.5673076923076923,0.18784501868670408,0.5673076923076923,0.0,0.5084745762711864,0,0.6,0.0
25,0.8264014466546112,0.5317307692307692,11.169844656513618,0.5317307692307692,0.0,0.8264014466546112,0,0.8204667863554758,0.0,0.42,0.4807692307692308,-0.041852959575748465,0.4807692307692308,0.0,0.42,0,0.45652173913043476,0.0,0.5573770491803278,0.5865384615384616,0.23521283324251108,0.5865384615384616,0.0,0.5573770491803278,0,0.68,0.0
26,0.8678260869565217,0.5528846153846154,13.105784589133746,0.5528846153846154,0.0,0.8678260869565217,0,0.895870736086176,0.0,0.40816326530612246,0.47115384615384615,-0.053567711151936065,0.47115384615384615,0.0,0.40816326530612246,0,0.43478260869565216,0.0,0.543859649122807,0.5480769230769231,0.2322266474098112,0.5480769230769231,0.0,0.543859649122807,0,0.62,0.0
27,0.8709677419354839,0.5067307692307692,11.642458081571284,0.5067307692307692,0.0,0.8709677419354839,0,0.8240574506283662,0.0,0.43137254901960786,0.49038461538461536,-0.05495726048526424,0.49038461538461536,0.0,0.43137254901960786,0,0.4782608695652174,0.0,0.5230769230769231,0.625,0.17876074562653088,0.625,0.0,0.5230769230769231,0,0.68,0.0
28,0.8566308243727598,0.5365384615384615,12.398594161223047,0.5365384615384615,0.0,0.8566308243727598,0,0.8581687612208259,0.0,0.47058823529411764,0.49038461538461536,0.02987832256023916,0.49038461538461536,0.0,0.47058823529411764,0,0.5217391304347826,0.0,0.5263157894736842,0.5480769230769231,0.10650935627980093,0.5480769230769231,0.0,0.5263157894736842,0,0.6,0.0
29,0.8656987295825771,0.5298076923076923,12.27308097413832,0.5298076923076923,0.0,0.8656987295825771,0,0.8563734290843806,0.0,0.46153846153846156,0.5,0.02625997521574404,0.5,0.0,0.46153846153846156,0,0.5217391304347826,0.0,0.5254237288135594,0.5673076923076923,0.17983337758364598,0.5673076923076923,0.0,0.5254237288135594,0,0.62,0.0
30,0.8556149732620321,0.5394230769230769,12.10372277671968,0.5394230769230769,0.0,0.8556149732620321,0,0.8617594254937163,0.0,0.47058823529411764,0.49038461538461536,0.035239423514625806,0.49038461538461536,0.0,0.47058823529411764,0,0.5217391304347826,0.0,0.5081967213114754,0.5865384615384616,0.13516046789852537,0.5865384615384616,0.0,0.5081967213114754,0,0.62,0.0
31,0.8872180451127819,0.5115384615384615,12.705320594031692,0.5115384615384615,0.0,0.8872180451127819,0,0.8473967684021544,0.0,0.42857142857142855,0.47115384615384615,-0.04749500919600421,0.47115384615384615,0.0,0.42857142857142855,0,0.45652173913043476,0.0,0.55,0.5769230769230769,0.21193749573549286,0.5769230769230769,0.0,0.55,0,0.66,0.0
32,0.8655913978494624,0.5365384615384615,12.798733862595036,0.5365384615384615,0.0,0.8655913978494624,0,0.8671454219030521,0.0,0.45098039215686275,0.49038461538461536,-0.03549713299369434,0.49038461538461536,0.0,0.45098039215686275,0,0.5,0.0,0.5,0.6153846153846154,0.12256797094407737,0.6153846153846154,0.0,0.5,0,0.64,0.0
33,0.8647686832740213,0.5403846153846154,12.535149515939615,0.5403846153846154,0.0,0.8647686832740213,0,0.8725314183123878,0.0,0.45652173913043476,0.4423076923076923,0.02096984303207234,0.4423076923076923,0.0,0.45652173913043476,0,0.45652173913043476,0.0,0.5084745762711864,0.5673076923076923,0.15199165013740712,0.5673076923076923,0.0,0.5084745762711864,0,0.6,0.0
34,0.862708719851577,0.5182692307692308,11.460211068106299,0.5182692307692308,0.0,0.862708719851577,0,0.8348294434470377,0.0,0.44,0.4807692307692308,0.08292811951221032,0.4807692307692308,0.0,0.44,0,0.4782608695652174,0.0,0.5254237288135594,0.5673076923076923,0.13102900296753162,0.5673076923076923,0.0,0.5254237288135594,0,0.62,0.0
35,0.8637992831541219,0.5365384615384615,12.378713629645054,0.5365384615384615,0.0,0.8637992831541219,0,0.8653500897666068,0.0,0.42857142857142855,0.47115384615384615,0.04451127176780526,0.47115384615384615,0.0,0.42857142857142855,0,0.45652173913043476,0.0,0.5238095238095238,0.6057692307692307,0.19519510552701225,0.6057692307692307,0.0,0.5238095238095238,0,0.66,0.0
36,0.8666666666666667,0.5336538461538461,12.384478346685118,0.5336538461538461,0.0,0.8666666666666667,0,0.8635547576301615,0.0,0.43636363636363634,0.5288461538461539,0.01620799721635243,0.5288461538461539,0.0,0.43636363636363634,0,0.5217391304347826,0.0,0.49230769230769234,0.625,0.17548613167623034,0.625,0.0,0.49230769230769234,0,0.64,0.0
37,0.8523725834797891,0.5471153846153847,12.964812602975643,0.5471153846153847,0.0,0.8523725834797891,0,0.8707360861759426,0.0,0.4166666666666667,0.46153846153846156,-0.0381114883198543,0.46153846153846156,0.0,0.4166666666666667,0,0.43478260869565216,0.0,0.5172413793103449,0.5576923076923077,0.16745498881649942,0.5576923076923077,0.0,0.5172413793103449,0,0.6,0.0
38,0.8653500897666068,0.5355769230769231,12.219356255554036,0.5355769230769231,0.0,0.8653500897666068,0,0.8653500897666068,0.0,0.4583333333333333,0.46153846153846156,0.06179524102862461,0.46153846153846156,0.0,0.4583333333333333,0,0.4782608695652174,0.0,0.5166666666666667,0.5769230769230769,0.1657235195386583,0.5769230769230769,0.0,0.5166666666666667,0,0.62,0.0
39,0.889090909090909,0.5288461538461539,13.03874415062407,0.5288461538461539,0.0,0.889090909090909,0,0.8779174147217235,0.0,0.46511627906976744,0.41346153846153844,0.1073613391026022,0.41346153846153844,0.0,0.46511627906976744,0,0.43478260869565216,0.0,0.5294117647058824,0.49038461538461536,0.16640434582183197,0.49038461538461536,0.0,0.5294117647058824,0,0.54,0.0
40,0.8808193668528864,0.5163461538461539,13.011785991402762,0.5163461538461539,0.0,0.8808193668528864,0,0.8491921005385996,0.0,0.4318181818181818,0.4230769230769231,0.035879285477369835,0.4230769230769231,0.0,0.4318181818181818,0,0.41304347826086957,0.0,0.5283018867924528,0.5096153846153846,0.26466978572861977,0.5096153846153846,0.0,0.5283018867924528,0,0.56,0.0
41,0.8574144486692015,0.5057692307692307,11.912591406022173,0.5057692307692307,0.0,0.8574144486692015,0,0.8096947935368043,0.0,0.4375,0.46153846153846156,0.048842627208626394,0.46153846153846156,0.0,0.4375,0,0.45652173913043476,0.0,0.5161290322580645,0.5961538461538461,0.1758012597571817,0.5961538461538461,0.0,0.5161290322580645,0,0.64,0.0
42,0.8696461824953445,0.5163461538461539,12.813006348225574,0.5163461538461539,0.0,0.8696461824953445,0,0.8384201077199281,0.0,0.4583333333333333,0.46153846153846156,0.06004627625720405,0.46153846153846156,0.0,0.4583333333333333,0,0.4782608695652174,0.0,0.5357142857142857,0.5384615384615384,0.1690934082421124,0.5384615384615384,0.0,0.5357142857142857,0,0.6,0.0
43,0.8817005545286506,0.5201923076923077,12.64663528677068,0.5201923076923077,0.0,0.8817005545286506,0,0.8563734290843806,0.0,0.4888888888888889,0.4326923076923077,0.10470222442275634,0.4326923076923077,0.0,0.4888888888888889,0,0.4782608695652174,0.0,0.5384615384615384,0.5,0.22780832620457464,0.5,0.0,0.5384615384615384,0,0.56,0.0
44,0.865530303030303,0.5076923076923077,12.47536386361742,0.5076923076923077,0.0,0.865530303030303,0,0.8204667863554758,0.0,0.4230769230769231,0.5,-0.08980539966204801,0.5,0.0,0.4230769230769231,0,0.4782608695652174,0.0,0.5,0.5961538461538461,0.22394170887551407,0.5961538461538461,0.0,0.5,0,0.62,0.0
45,0.8623693379790941,0.551923076923077,12.72672614459133,0.551923076923077,0.0,0.8623693379790941,0,0.8886894075403949,0.0,0.44,0.4807692307692308,-0.03906099329356206,0.4807692307692308,0.0,0.44,0,0.4782608695652174,0.0,0.4918032786885246,0.5865384615384616,0.2217726433599162,0.5865384615384616,0.0,0.4918032786885246,0,0.6,0.0
46,0.88,0.5288461538461539,12.484142257126624,0.5288461538461539,0.0,0.88,0,0.8689407540394973,0.0,0.41509433962264153,0.5096153846153846,-0.1264328496461626,0.5096153846153846,0.0,0.41509433962264153,0,0.4782608695652174,0.0,0.49206349206349204,0.6057692307692307,0.2290466343221942,0.6057692307692307,0.0,0.49206349206349204,0,0.62,0.0
47,0.8651079136690647,0.5346153846153846,12.499609122974068,0.5346153846153846,0.0,0.8651079136690647,0,0.8635547576301615,0.0,0.4489795918367347,0.47115384615384615,-0.05296209894083787,0.47115384615384615,0.0,0.4489795918367347,0,0.4782608695652174,0.0,0.5166666666666667,0.5769230769230769,0.33245696997050284,0.5769230769230769,0.0,0.5166666666666667,0,0.62,0.0
48,0.8880733944954129,0.5240384615384616,13.135306813672146,0.5240384615384616,0.0,0.8880733944954129,0,0.8689407540394973,0.0,0.44680851063829785,0.4519230769230769,-0.05735655190606588,0.4519230769230769,0.0,0.44680851063829785,0,0.45652173913043476,0.0,0.48333333333333334,0.5769230769230769,0.14228174396288,0.5769230769230769,0.0,0.48333333333333334,0,0.58,0.0
49,0.8862385321100917,0.5240384615384616,12.933853295849271,0.5240384615384616,0.0,0.8862385321100917,0,0.8671454219030521,0.0,0.425531914893617,0.4519230769230769,-0.12816804267367152,0.4519230769230769,0.0,0.425531914893617,0,0.43478260869565216,0.0,0.46875,0.6153846153846154,0.1246484603026885,0.6153846153846154,0.0,0.46875,0,0.6,0.0
50,0.8698010849909584,0.5317307692307692,12.094848160172576,0.5317307692307692,0.0,0.8698010849909584,0,0.8635547576301615,0.0,0.4583333333333333,0.46153846153846156,-0.002194627242108357,0.46153846153846156,0.0,0.4583333333333333,0,0.4782608695652174,0.0,0.49206349206349204,0.6057692307692307,0.14793368606118837,0.6057692307692307,0.0,0.49206349206349204,0,0.62,0.0
51,0.8711433756805808,0.5298076923076923,12.733778656558192,0.5298076923076923,0.0,0.8711433756805808,0,0.8617594254937163,0.0,0.4489795918367347,0.47115384615384615,-0.06332861094453676,0.47115384615384615,0.0,0.4489795918367347,0,0.4782608695652174,0.0,0.4915254237288136,0.5673076923076923,0.10679491435778907,0.5673076923076923,0.0,0.4915254237288136,0,0.58,0.0
52,0.8568904593639576,0.5442307692307692,12.958392334397688,0.5442307692307692,0.0,0.8568904593639576,0,0.8707360861759426,0.0,0.4444444444444444,0.4326923076923077,0.004543361379365397,0.4326923076923077,0.0,0.4444444444444444,0,0.43478260869565216,0.0,0.49206349206349204,0.6057692307692307,0.1592033135457524,0.6057692307692307,0.0,0.49206349206349204,0,0.62,0.0
53,0.8870370370370371,0.5192307692307693,12.160850564584548,0.5192307692307693,0.0,0.8870370370370371,0,0.8599640933572711,0.0,0.4375,0.46153846153846156,0.000943103897355151,0.46153846153846156,0.0,0.4375,0,0.45652173913043476,0.0,0.5,0.5961538461538461,0.1612360347700733,0.5961538461538461,0.0,0.5,0,0.62,0.0
54,0.8641304347826086,0.5307692307692308,12.763200577365472,0.5307692307692308,0.0,0.8641304347826086,0,0.8563734290843806,0.0,0.4444444444444444,0.5192307692307693,0.026409594696761303,0.5192307692307693,0.0,0.4444444444444444,0,0.5217391304347826,0.0,0.49230769230769234,0.625,0.17868305373393423,0.625,0.0,0.49230769230769234,0,0.64,0.0
55,0.8598615916955017,0.5557692307692308,13.475096589041756,0.5557692307692308,0.0,0.8598615916955017,0,0.8922800718132855,0.0,0.46808510638297873,0.4519230769230769,0.06788631483342548,0.4519230769230769,0.0,0.46808510638297873,0,0.4782608695652174,0.0,0.5172413793103449,0.5576923076923077,0.2564282083458226,0.5576923076923077,0.0,0.5172413793103449,0,0.6,0.0
56,0.8716577540106952,0.5394230769230769,12.969169867571036,0.5394230769230769,0.0,0.8716577540106952,0,0.8779174147217235,0.0,0.46808510638297873,0.4519230769230769,0.03310347552388186,0.4519230769230769,0.0,0.46808510638297873,0,0.4782608695652174,0.0,0.5161290322580645,0.5961538461538461,0.18724534664680434,0.5961538461538461,0.0,0.5161290322580645,0,0.64,0.0
57,0.891941391941392,0.525,12.806565967525211,0.525,0.0,0.891941391941392,0,0.874326750448833,0.0,0.4489795918367347,0.47115384615384615,-0.06492557129249388,0.47115384615384615,0.0,0.4489795918367347,0,0.4782608695652174,0.0,0.47540983606557374,0.5865384615384616,0.1367871898787725,0.5865384615384616,0.0,0.47540983606557374,0,0.58,0.0
58,0.8899253731343284,0.5153846153846153,12.853672493683511,0.5153846153846153,0.0,0.8899253731343284,0,0.8563734290843806,0.0,0.45098039215686275,0.49038461538461536,-0.014971970521090578,0.49038461538461536,0.0,0.45098039215686275,0,0.5,0.0,0.484375,0.6153846153846154,0.16818413820189138,0.6153846153846154,0.0,0.484375,0,0.62,0.0
59,0.8528368794326241,0.5423076923076923,13.036355136005827,0.5423076923076923,0.0,0.8528368794326241,0,0.8635547576301615,0.0,0.425,0.38461538461538464,-0.04665909897041506,0.38461538461538464,0.0,0.425,0,0.3695652173913043,0.0,0.5084745762711864,0.5673076923076923,0.16895166036980738,0.5673076923076923,0.0,0.5084745762711864,0,0.6,0.0
60,0.8736059479553904,0.5173076923076924,12.166861118863837,0.5173076923076924,0.0,0.8736059479553904,0,0.8438061041292639,0.0,0.4230769230769231,0.5,-0.07436796139518725,0.5,0.0,0.4230769230769231,0,0.4782608695652174,0.0,0.5087719298245614,0.5480769230769231,0.16565408247391883,0.5480769230769231,0.0,0.5087719298245614,0,0.58,0.0
61,0.8685612788632326,0.5413461538461538,12.878136222395748,0.5413461538461538,0.0,0.8685612788632326,0,0.8779174147217235,0.0,0.43137254901960786,0.49038461538461536,-0.053076992914738,0.49038461538461536,0.0,0.43137254901960786,0,0.4782608695652174,0.0,0.5,0.5961538461538461,0.14000702827318037,0.5961538461538461,0.0,0.5,0,0.62,0.0
62,0.8605072463768116,0.5307692307692308,12.746292154259173,0.5307692307692308,0.0,0.8605072463768116,0,0.8527827648114902,0.0,0.425531914893617,0.4519230769230769,0.0014768220351072687,0.4519230769230769,0.0,0.425531914893617,0,0.43478260869565216,0.0,0.5272727272727272,0.5288461538461539,0.22360656556767688,0.5288461538461539,0.0,0.5272727272727272,0,0.58,0.0
63,0.8781818181818182,0.5288461538461539,13.475877245373592,0.5288461538461539,0.0,0.8781818181818182,0,0.8671454219030521,0.0,0.4375,0.46153846153846156,6.91770765265682e-05,0.46153846153846156,0.0,0.4375,0,0.45652173913043476,0.0,0.515625,0.6153846153846154,0.20216920169348962,0.6153846153846154,0.0,0.515625,0,0.66,0.0
64,0.8955223880597015,0.5153846153846153,12.850199565867745,0.5153846153846153,0.0,0.8955223880597015,0,0.8617594254937163,0.0,0.44680851063829785,0.4519230769230769,0.02285953818254395,0.4519230769230769,0.0,0.44680851063829785,0,0.45652173913043476,0.0,0.5166666666666667,0.5769230769230769,0.14612325731769826,0.5769230769230769,0.0,0.5166666666666667,0,0.62,0.0
65,0.8818181818181818,0.5288461538461539,12.72475857166659,0.5288461538461539,0.0,0.8818181818181818,0,0.8707360861759426,0.0,0.4666666666666667,0.4326923076923077,0.10670573105999925,0.4326923076923077,0.0,0.4666666666666667,0,0.45652173913043476,0.0,0.5084745762711864,0.5673076923076923,0.15710088690907775,0.5673076923076923,0.0,0.5084745762711864,0,0.6,0.0
